일자,구매일련번호,거래처코드,품목코드,품목명,규격,재질,도금,수량
2019/01/02,2019/01/02-1,1273962747,TH1S3.530SZY,트러스태핑1종(+),3.5*30,철,천연색,500
2019/01/02,2019/01/02-1,1273962747,TH1S438SZY,트러스태핑1종(+),4*38,철,천연색,300
2019/01/02,2019/01/02-1,1273962747,FHM412SZY,사라머신(+),4*12,철,천연색,"1,000"
2019/01/02,2019/01/02-2,2158116699,HN20CM10,육각너트,20,10T,,"1,200"
2019/01/02,2019/01/02-2,2158116699,HB1030CM10,육각볼트,10*30,10.9T,,700
2019/01/02,2019/01/02-2,2158116699,HB1020S316,육각볼트,10*20,STS316,,250
2019/01/02,2019/01/02-2,2158116699,SW10S316,스프링와샤,10,STS316,,500
2019/01/02,2019/01/02-2,2158116699,SW14S304,스프링와샤,14,STS304,,200
2019/01/02,2019/01/02-2,2158116699,HB20130S304,육각볼트,20*130,STS304,,60
2019/01/02,2019/01/02-2,2158116699,HB20100S304,육각볼트,20*100,STS304,,100
2019/01/02,2019/01/02-2,2158116699,HB2080S304,육각볼트,20*80,STS304,,100
2019/01/02,2019/01/02-3,5043282994,PW58S,평와샤,5/8＂,철,무도금,400
2019/01/02,2019/01/02-3,5043282994,PW14SZW,평와샤,14,철,백색,"2,000"
2019/01/02,2019/01/02-3,5043282994,PW16S304,평와샤,16,STS304,,"3,000"
2019/01/02,2019/01/02-4,2158116699,HN58S,육각너트,5/8＂,철,무도금,"1,000"
2019/01/02,2019/01/02-5,2158116699,HB1270S304,육각볼트,12*70,STS304,,450
2019/01/02,2019/01/02-6,6068161686,WN10SZY,나비너트,10,철,천연색,"2,000"
2019/01/02,2019/01/02-6,6068161686,WN12SZY,나비너트,12,철,천연색,"1,200"
2019/01/02,2019/01/02-7,2158116699,HSB1235S304,둥근머리렌치볼트,12*35,STS304,,100
2019/01/02,2019/01/02-7,2158116699,HB1235SZY,육각볼트,12*35,철,천연색,500
2019/01/02,2019/01/02-7,2158116699,HB1240CM10,육각볼트,12*40,10.9T,,400
2019/01/02,2019/01/02-7,2158116699,HN12CM10,육각너트,12,10T,,"1,200"
2019/01/02,2019/01/02-7,2158116699,PW12S45C,평와샤,12,S45C,,"1,800"
2019/01/02,2019/01/02-7,2158116699,HB1650CM10,육각볼트,16*50,10.9T,,200
2019/01/02,2019/01/02-7,2158116699,PW16S45C,평와샤,16,S45C,,200
2019/01/02,2019/01/02-7,2158116699,HB2050CM10,육각볼트,20*50,10.9T,,200
2019/01/02,2019/01/02-7,2158116699,HB2055CM10,육각볼트,20*55,10.9T,,200
2019/01/02,2019/01/02-7,2158116699,HB2065CM10,육각볼트,20*65,10.9T,,90
2019/01/02,2019/01/02-7,2158116699,HN20CM10,육각너트,20,10T,,800
2019/01/02,2019/01/02-7,2158116699,PW20S45C,평와샤,20,S45C,,"1,200"
2019/01/02,2019/01/02-7,2158116699,HB1460CM10,육각볼트,14*60,10.9T,,230
2019/01/02,2019/01/02-7,2158116699,HB2480CM10,육각볼트,24*80,10.9T,,50
2019/01/02,2019/01/02-8,2158116699,HB1645S304,육각볼트,16*45,STS304,,150
2019/01/02,2019/01/02-8,2158116699,HB1670S304,육각볼트,16*70,STS304,,200
2019/01/02,2019/01/02-9,2158116699,HSH515S316,렌치볼트,5*15,STS316,,200
2019/01/02,2019/01/02-9,2158116699,HSH812S316,렌치볼트,8*12,STS316,,100
2019/01/02,2019/01/02-9,2158116699,HSH1015S316L,렌치볼트,10*15,STS316L,,100
2019/01/02,2019/01/02-9,2158116699,PW4S316,평와샤,4,STS316,,"1,000"
2019/01/02,2019/01/02-9,2158116699,PW5S316,평와샤,5,STS316,,"1,000"
2019/01/02,2019/01/02-9,2158116699,PW10S316,평와샤,10,STS316,,"1,000"
2019/01/02,2019/01/02-9,2158116699,SW4S316,스프링와샤,4,STS316,,"1,000"
2019/01/02,2019/01/02-9,2158116699,SW5S316,스프링와샤,5,STS316,,"1,000"
2019/01/02,2019/01/02-9,2158116699,SW10S316,스프링와샤,10,STS316,,"1,000"
2019/01/02,2019/01/02-9,2158116699,HB1240CM10,육각볼트,12*40,10.9T,,"1,200"
2019/01/02,2019/01/02-9,2158116699,HN12CM10,육각너트,12,10T,,"1,200"
2019/01/02,2019/01/02-9,2158116699,PW12S45C,평와샤,12,S45C,,"1,800"
2019/01/02,2019/01/02-9,2158116699,SW12S45C,스프링와샤,12,S45C,,900
2019/01/02,2019/01/02-9,2158116699,HB1640CM10,육각볼트,16*40,10.9T,,200
2019/01/02,2019/01/02-9,2158116699,HN16CM10,육각너트,16,10T,,"3,500"
2019/01/02,2019/01/02-9,2158116699,PW16S45C,평와샤,16,S45C,,"5,800"
2019/01/02,2019/01/02-9,2158116699,HB1650CM10,육각볼트,16*50,10.9T,,"2,000"
2019/01/02,2019/01/02-9,2158116699,SW16S45C,스프링와샤,16,S45C,,700
2019/01/02,2019/01/02-9,2158116699,HB1660CM10,육각볼트,16*60,10.9T,,360
2019/01/02,2019/01/02-9,2158116699,TS1645S10T,T/S건축용볼트(B/N/PW),16*45,S10T,,"1,197"
2019/01/02,2019/01/02-9,2158116699,TS1650S10T,T/S건축용볼트(B/N/PW),16*50,S10T,,128
2019/01/02,2019/01/02-9,2158116699,TS2050S10T,T/S건축용볼트(B/N/PW),20*50,S10T,,260
2019/01/02,2019/01/02-9,2158116699,TS2055S10T,T/S건축용볼트(B/N/PW),20*55,S10T,,256
2019/01/02,2019/01/02-9,2158116699,HB20150SZY,육각볼트,20*150,철,천연색,100
2019/01/02,2019/01/02-9,2158116699,HB2070SZY,육각볼트,20*70,철,천연색,360
2019/01/02,2019/01/02-9,2158116699,HN20SZY,육각너트,20,철,천연색,400
2019/01/02,2019/01/02-10,1273962747,THM830S304,트러스머신(+),8*30,STS304,,200
2019/01/02,2019/01/02-10,1273962747,THM816S304,트러스머신(+),8*16,STS304,,200
2019/01/02,2019/01/02-10,1273962747,FHM816S304,사라머신(+),8*16,STS304,,"2,000"
2019/01/02,2019/01/02-11,2158116699,HB10220CM10,육각볼트,10*220,10.9T,,200
2019/01/02,2019/01/02-11,2158116699,HB10240CM10,육각볼트,10*240,10.9T,,100
